iter	Passed	Remaining
399	35481	53222
400	35554	53109
401	35628	52999
402	35720	52915
403	35803	52818
404	35884	52719
405	35961	52614
406	36049	52523
407	36119	52408
408	36209	52322
409	36294	52227
410	36366	52116
411	36449	52020
412	36523	51910
413	36598	51803
414	36694	51726
415	36769	51618
416	36842	51509
417	36935	51426
418	37030	51347
419	37108	51245
420	37192	51150
421	37293	51079
422	37377	50985
423	37462	50892
424	37540	50789
425	37628	50700
426	37704	50596
427	37781	50493
428	37860	50392
429	37941	50295
430	38012	50183
431	38109	50107
432	38179	49994
433	38285	49929
434	38382	49853
435	38466	49758
436	38536	49647
437	38618	49551
438	38710	49468
439	38807	49390
440	38885	49290
441	38962	49188
442	39040	49087
443	39140	49013
444	39210	48902
445	39286	48800
446	39382	48722
447	39458	48617
448	39557	48543
449	39667	48483
450	39744	48380
451	39826	48284
452	39890	48168
453	39980	48082
454	40051	47973
455	40127	47871
456	40215	47783
457	40287	47676
458	40370	47582
459	40453	47488
460	40541	47401
461	40608	47288
462	40696	47200
463	40778	47105
464	40866	47018
465	40964	46941
466	41051	46853
467	41143	46770
468	41247	46700
469	41334	46611
470	41426	46527
471	41508	46432
472	41598	46347
473	41670	46241
474	41761	46157
475	41850	46071
476	41927	45970
477	42010	45877
478	42096	45787
479	42171	45685
480	42241	45578
481	42317	45477
482	42405	45390
483	42481	45290
484	42566	45199
485	42640	45097
486	42735	45017
487	42825	44931
488	42891	44821
489	42971	44725
490	43047	44625
491	43130	44533
492	43204	44431
493	43276	44327
494	43363	44239
495	43431	44131
496	43508	44033
497	43583	43933
498	43661	43836
499	43742	43742
500	43824	43649
501	43912	43562
502	43986	43461
503	44069	43370
504	44159	43285
505	44258	43208
506	44332	43108
507	44432	43032
508	44517	42942
509	44587	42838
510	44679	42755
511	44770	42671
512	44879	42605
513	44953	42504
514	45046	42422
515	45135	42336
516	45208	42235
517	45284	42137
518	45373	42051
519	45464	41967
520	45563	41890
521	45641	41794
522	45724	41702
523	45807	41611
524	45884	41514
525	45982	41436
526	46064	41344
527	46164	41268
528	46261	41189
529	46343	41096
530	46411	40992
531	46492	40899
532	46559	40794
533	46631	40693
534	46716	40603
535	46804	40517
536	46878	40418
537	46951	40318
538	47051	40242
539	47135	40152
